epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3383.59,1.03446,0.46451,1.11907,0.9852,0.99907,0.99418,0.77375,0.91949,0.37984,1.10411,0.0004324,0.0004324,0.0004324
88,3415.8,1.00245,0.44679,1.09967,0.98548,0.99905,0.99424,0.77614,0.9094,0.3743,1.09994,0.0004258,0.0004258,0.0004258
89,3447.47,1.00093,0.4459,1.0837,0.98663,0.99905,0.99423,0.77182,0.91748,0.37653,1.10549,0.0004192,0.0004192,0.0004192
90,3479.61,1.01906,0.45688,1.08929,0.98621,0.99847,0.99439,0.77737,0.90289,0.37596,1.09768,0.0004126,0.0004126,0.0004126
91,3511.6,0.99874,0.45914,1.0745,0.98547,0.99926,0.9945,0.77481,0.90175,0.37697,1.09607,0.000406,0.000406,0.000406
92,3543.38,0.98141,0.43916,1.06922,0.98647,0.99829,0.99446,0.77709,0.89955,0.37397,1.09589,0.0003994,0.0003994,0.0003994
93,3575.1,0.97799,0.44326,1.06314,0.98601,0.99881,0.99444,0.7735,0.91275,0.37378,1.10136,0.0003928,0.0003928,0.0003928
94,3606.97,1.00259,0.45408,1.08354,0.9855,0.99905,0.99432,0.77602,0.90141,0.37266,1.09735,0.0003862,0.0003862,0.0003862
95,3641.66,0.99802,0.45681,1.07554,0.98556,0.99975,0.99401,0.77581,0.9155,0.37604,1.10255,0.0003796,0.0003796,0.0003796
96,3682.03,0.99949,0.44449,1.08889,0.98467,0.99984,0.99316,0.77917,0.90331,0.37224,1.09575,0.000373,0.000373,0.000373
97,3723.75,1.02265,0.45849,1.09546,0.98474,0.99984,0.99286,0.77325,0.91984,0.37541,1.10449,0.0003664,0.0003664,0.0003664
98,3764.64,1.00206,0.4621,1.07264,0.98648,0.99844,0.99348,0.77708,0.90888,0.37175,1.09609,0.0003598,0.0003598,0.0003598
99,3805.05,1.03109,0.46794,1.09162,0.98697,0.99898,0.99427,0.77914,0.90143,0.37295,1.09369,0.0003532,0.0003532,0.0003532
100,3845.88,0.99956,0.45636,1.07223,0.98665,0.99841,0.99453,0.77737,0.89753,0.37608,1.09344,0.0003466,0.0003466,0.0003466
101,3886.63,0.97891,0.44982,1.06854,0.98648,0.99882,0.99456,0.7769,0.8979,0.37429,1.09409,0.00034,0.00034,0.00034
102,3926.34,1.00222,0.44596,1.07321,0.98697,0.99878,0.99453,0.77635,0.89913,0.3719,1.09209,0.0003334,0.0003334,0.0003334
103,3966.65,1.00272,0.44794,1.08073,0.98697,0.99884,0.99453,0.7763,0.90108,0.37152,1.09306,0.0003268,0.0003268,0.0003268
104,4007.54,1.00129,0.4461,1.06476,0.98649,0.9995,0.99454,0.77923,0.89557,0.3707,1.09208,0.0003202,0.0003202,0.0003202
105,4047.95,0.98082,0.4394,1.08156,0.98599,0.99934,0.99451,0.78087,0.90227,0.37144,1.09523,0.0003136,0.0003136,0.0003136
